artist,artist_uri
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0
KEY,spotify:artist:6XXKPxRX2WWPPtfodzpc2v
Young K,spotify:artist:6mNk6ugGIlgVhtDw5dQmCX
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE
TOMORROW X TOGETHER,spotify:artist:0ghlgldX5Dd6720Q3qFyQB
JAY B,spotify:artist:3IjHX8KZKoeq3X4QgXxqbT
Red Velvet,spotify:artist:1z4g3DjTBBZKhvAroFlhOM
D.O.,spotify:artist:2CQZr2RPZmrcvDnaod1ldC
ENHYPEN,spotify:artist:5t5FqBwTcgKTaWmfEbwQY9
SOMI,spotify:artist:7zYj9S9SdIunYCfSm7vzAR
CL,spotify:artist:0tzSBCPJZmHTdOA3ZV2mN3
Sam Kim,spotify:artist:4BBN286rBKyCWsSPq2cxYO
TEN,spotify:artist:3Q5Qep7ytrjVleNnMnntgQ
SUNMI,spotify:artist:6MoXcK2GyGg7FIyxPU5yW6
Weeekly,spotify:artist:73B9bjqS2Z5KLXNGqXf64m
THE BOYZ,spotify:artist:0CmvFWTX9zmMNCUi6fHtAx
TWICE,spotify:artist:7n2Ycct7Beij7Dj7meI4X0
aespa,spotify:artist:6YVMFz59CuY7ngCxTxjpxE
TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu
BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
ITZY,spotify:artist:2KC9Qb60EaY0kW4eH68vr3
LOONA,spotify:artist:52zMTJCKluDlFwMQWmccY7
Dreamcatcher,spotify:artist:5V1qsQHdXNm4ZEZHWvFnqQ
AKMU,spotify:artist:6OwKE9Ez6ALxpTaKcT5ayv
ASTRO,spotify:artist:4pz4uzOMpJQyV8UTsDy4H8
NCT DREAM,spotify:artist:1gBUSTR3TyDdTVFIaQnc02
JOY,spotify:artist:0sYpJ0nCC8AlDrZFeAA7ub
SEVENTEEN,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH
ROSÉ,spotify:artist:3eVa5w3URK5duf6eyVDbu9
Brave Girls,spotify:artist:7t5H3uQv0Zw6cQUnSTF5BB
Monsta X,spotify:artist:4TnGh5PKbSjpYqpIdlW5nz
SF9,spotify:artist:7LOmc7gyMVMOWF8qwEdn2X
OH MY GIRL,spotify:artist:2019zR22qK2RBvCqtudBaI
EVERGLOW,spotify:artist:3ZZzT0naD25RhY2uZvIKkJ
IU,spotify:artist:3HqSLMAZ3g3d5poNaI7GOU
2PM,spotify:artist:5iRPbkcPmqAFFwDUj6ywVS
GFRIEND,spotify:artist:0qlWcS66ohOIi0M8JZwPft
EXO,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O
Woosung,spotify:artist:5LHu1iF8m0XtRBEJbbwSoo
TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8
Jessi,spotify:artist:64k5e9kV9MdukXjFrR5R37
OMEGA X,spotify:artist:2FJYWlqgtoiBtXpOy9GGIF
NCT U,spotify:artist:3paGCCtX1Xr4Gx53mSeZuQ
PENTAGON,spotify:artist:1wKpMkucynaTfG8lyPprYV
DAY6,spotify:artist:5TnQc2N1iKlFjYD7CPGvFc
The Rose,spotify:artist:5na1LmEmK2VzNLje9snJYW
A.C.E,spotify:artist:25KT93FeotUTHC1dbLasxi
ATEEZ,spotify:artist:68KmkJeZGfwe1OUaivBa2L
TREASURE,spotify:artist:3KonOYiLsU53m4yT7gNotP
iKON,spotify:artist:5qRSs6mvI17zrkJpOHkCoM
GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df
SHINee,spotify:artist:2hRQKC0gqlZGPrmUKbcchR
"Car, the garden",spotify:artist:7c1HgFDe8ogy5NOZ1ANCJQ
Solar,spotify:artist:5cYcI546S8Lf97m4mNdYLD
Cheon Dan Bi,spotify:artist:2AqxU4G8A5RoUMtIiKfHcQ
Jeong Yu Jin,spotify:artist:1XtBI35SSGjQXm1auxDOmD
Kim Jong Kook,spotify:artist:60YNqzrSj7rJkuqHkpHPqG
Jung Dong Ha,spotify:artist:5Y5c91VcBMoVZbYBZdoRnu
Ha Dong Qn,spotify:artist:7gjNpUcKOWzo2jnN7VsxoQ
YODAYOUNG,spotify:artist:3TE3mzbf7EouO9qVs7ja6w
YOO SEONHO,spotify:artist:0JgjaJCc3hljutULWQXewZ
HA SUNG WOON,spotify:artist:3OBkZ9NG8F0Fn4oNpg0yuU
Mido and Falasol,spotify:artist:3lBxyv4EPpiE80Ji1Eyfiq
Elaine,spotify:artist:7o30ZHbzQe9mDG8LbmmSel
Yun Song A,spotify:artist:2yh20ZxSlQ9YC11QGdVB9E
지예송,spotify:artist:05gFL1ZhVoHsjVkX6Hb8nt
BAEKHYUN,spotify:artist:4ufh0WuMZh6y4Dmdnklvdl
yourbeagle,spotify:artist:62i8ukH7NagOk7lZE6B3xA
Yoon Mirae,spotify:artist:1Do4bSzfUl0KWL9r1fITu0
Onestar,spotify:artist:6EmgTIhhXGtfAmYYTfdtlz
Sondia,spotify:artist:18VQ59noY7aOj59UNMozHp
misonyeon,spotify:artist:3RBwHbXl5zZ2A1EzavONan
KLANG,spotify:artist:3lxXfdGXe8k188bUZgKqgF
RIO,spotify:artist:3sSwsGMEcViUoDXzzcht3g
YOONWON,spotify:artist:1Wp1QiJslBV2qX7aAV7pXN
Seung Hee (OH MY GIRL),spotify:artist:2zJZUKx6PJLb0nbkgChT5R
Huckleberry Finn,spotify:artist:4HWH9BmIaKteAv5RmqWeZa
seo hyun jin,spotify:artist:56kr7ithHAvEeInwvWJoRs
Kwon Jin Ah,spotify:artist:0kRAVpQhUUArA8UnYwEdeZ
Kwon Soonkwan,spotify:artist:4QLDKHOPL4cISjOBek1ZP7
Say Sue Me,spotify:artist:4tvbo17gXpYgSr8sTlkaby
Yoo Yeon Seok,spotify:artist:6xPx7ZAh3o3PMkpk8VDeGj
Han Seungwoo,spotify:artist:2RSsuFG2pkU9sGZ85UzFgl
ONEW,spotify:artist:7sZ5ipSoboWdqXkdj6AXHo
MOOK,spotify:artist:5Sqk710FhqXdb9YNDjM66Y
김진웅,spotify:artist:0slIcAQLtJUFLW2IF1y63I
Baek A Yeon,spotify:artist:5UKoKVlU7EDN4UgDuVRAbX
EB,spotify:artist:5dTfHslH6PS97tNNgDwYaC
CHO JUNG SEOK,spotify:artist:0MU0Hxwaz1daT4FVqx3Smz
JUNNY,spotify:artist:0lgENJQUkqkDbpsTYEayOr
Ha Hyunsang,spotify:artist:1jK4qH2wAXqF8v64zvaGRb
Jung Seung Hwan,spotify:artist:7l8rOFwZFQ3G0sgZ7gjGng
Baek Ji Young,spotify:artist:3l0MJ9LCiBlMyOMaz485Q5
WOODZ,spotify:artist:6y9nlaoynxSvoTGY09Vdcy
CHEEZE,spotify:artist:6NdzNrBP8Jbhzp6h7yojht
SEO SUNG HYUK,spotify:artist:2ekjryTkSjbaj67KrqSQzA
박지원,spotify:artist:7sYsnmmEZ0vpNVoz9V7h3E
Chancellor,spotify:artist:0u06YeydlBk3awnk5KgdBx
Seol Hoseung (SURL),spotify:artist:74eigHxPC6nhip2jnAili4
Kang Seung Yoon,spotify:artist:2Ip3x4XtEEhlGg8qI146jL
XIA,spotify:artist:0ZHbYuRbvC4tWW0iOdybwi
Jang Beom June,spotify:artist:529ZdRwFoSKtQ0LPwKxGiu
Kwak Jin Eon,spotify:artist:4xQ4GjBomHvTRL1GO624zd
Kim Dae Myeung,spotify:artist:3wGGJ9tGwM6K2ZaLH7bLN0
Gummy,spotify:artist:0hRHbwZ0xSwfVHl4FTv7jq
Kei,spotify:artist:4s8EHPyZqEOYgOPwgpdhmc
SUZANNE,spotify:artist:0NMJPa0Btok67TyE8Vxngc
Kassy,spotify:artist:6pU8o91xAS0aWNjj06nQSU
Seo Inguk,spotify:artist:6b5YOokI0zlMhsZm2mKvsY
Lee Mujin,spotify:artist:4Xj0peBt3EZHbdF20JmdWC
김로민,spotify:artist:0eVnIPoshBg7n2moMSWqpI
KIMMUSEUM,spotify:artist:1NVRvV0KqaO7VtSaVQcm3V
Kim Yuna,spotify:artist:5jiscb6yxuu9hj4BoW5Wea
Hui,spotify:artist:4R0tSGcVRQ8ZXPzttU8mHy
Davichi,spotify:artist:62hxRLLbCSFJjf4jI9zapY
공민정,spotify:artist:5GDZW7Mq6UWsS8WIRaqk2Q
Chuu,spotify:artist:1q86WVZhETqii5kKjEwYuB
YOO YEONJUNG,spotify:artist:35cW62cltZjFaHCCWeax6v
Solji,spotify:artist:54EEMb9uR0v9PWoWtQhTEo
Kim Bum Soo,spotify:artist:20K5puLWHL28ckI4LjieDt
ID:Earth,spotify:artist:6pORiOGjtqK2ww7PBBQFRt
Huh Gak,spotify:artist:49vOeJAPxAz6YmVZPNM7ys
Ailee,spotify:artist:3vxvomaq8f33hJYZXEjK2q
OnlyOneOf,spotify:artist:0iQGSzpJ0G0lsugv8jsJHd
Simon Dominic,spotify:artist:57W9ikVc6O2wLDtmclSjvN
Jang Na-ra,spotify:artist:2ToVzDfnPIfgFiqkXbLsYN
Youngjae,spotify:artist:5qUAtC3NwSLYme4JqjlGfQ
BIBI,spotify:artist:6UbmqUEgjLA6jAcXwbM1Z9
Lee Jin Ah,spotify:artist:4SzO3ea2qcjg1uLyNJAWnM
Bernard Park,spotify:artist:53Yqe3arWNbYQCw4kk1Qmv
K.Will,spotify:artist:1XNC9ksvgXeD1xRJruSA5t
oceanfromtheblue,spotify:artist:76eIrOIqck4yuOhrYZGx3a
Kang Seung Sik,spotify:artist:6KQYNyGaP0jX300OaEdaY0
GIRIBOY,spotify:artist:2MtHuR0W2idZdF7x4wddqq
SOYOU,spotify:artist:3b4kLCI0ZJW47TFsNRqgCb
Lee Yejoon,spotify:artist:3GS6aA2KRewQL4VhUtIpet
CHANYEOL,spotify:artist:6jV25rzTKQ2zMgrqHha1V5
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
Eric Nam,spotify:artist:2FLqlgckDKdmpBrvLAT5BM
Alesso,spotify:artist:4AVFqumd2ogHFlRbKIjp1t
SHAUN,spotify:artist:72nLe76yBFSlP6VBzME358
HYO,spotify:artist:3U7bOaJLuFkrmDQ1C1OqKl
Whee In,spotify:artist:0BqRGrwqndrtNkojXiqIzL
Henry,spotify:artist:1sjw4xq2pAWy5Vdgba5QAt
HEIZE,spotify:artist:5dCvSnVduaFleCnyy98JMo
WENDY,spotify:artist:0FRUZvZNPzM3YJMABJxf2K
Hello Ga-Young,spotify:artist:1yewRvlKGWmNRHOSGgiRRo
Lee Soo Young,spotify:artist:6GrRqCT2aRWjPMUmPY8oR5
Kim Sung Kyu,spotify:artist:56mV6FhCrg12O6mOTLxo73
Crush,spotify:artist:6aLdhHUqgdKE86xbtNmY8g
KIMSEJEONG,spotify:artist:1lFLniFTaPjYCtQZvDXpqu
CHEN,spotify:artist:0UEP2XBR9aC5NBKcAKnBIq
DAVICHI,spotify:artist:4z6yrDz5GfKXkeQZjOaZdq
V,spotify:artist:3JsHnjpbhX4SnySpvpa9DK
JEONG SEWOON,spotify:artist:2l9aF9jOgB7GI1uyNkx836
Suzy,spotify:artist:4U80LJd8sG6U9YTFP5izka
Zion.T,spotify:artist:5HenzRvMtSrgtvU16XAoby
Paul Kim,spotify:artist:4qRXrzUmdy3p33lgvJEzdv
Dvwn,spotify:artist:6WWUJGBY4ETAE22tRmgJ8b
Lee Chan Sol,spotify:artist:7E09MibBCbxOQjZDdCx6q8
Eddy Kim,spotify:artist:1sVSMPPNMMSZ7cQNfbvMOe
10cm,spotify:artist:6zn0ihyAApAYV51zpXxdEp
Kim Yeonji,spotify:artist:220c8fiYAk89nqAgw4x4z4
LeeHi,spotify:artist:7cVZApDoQZpS447nHTsNqu
O.WHEN,spotify:artist:7f5OHScUwC0ZKZzma5mMxq
Gaho,spotify:artist:3ybZTNrlK0QhL4rBxfLHOc
SURAN,spotify:artist:1mORehSVEd7lcaT2d7Sl2K
Josh Daniel,spotify:artist:2a2d2tEf1DleP1l10YZutF
AILEE,spotify:artist:3uGFTJ7JMllvhgGpumieHF
Kim Feel,spotify:artist:4EPYWwU4c8eG2GzD7MenUA
Shin Seung Hun,spotify:artist:4xgRWQOK2y3pGRFtmWNjyw
Hyolyn,spotify:artist:78sJswwVn4P8aEhkF4K6fQ
Jooyoung,spotify:artist:1vct46rBqLNRbE9wCibXUH
Jo Hyun Ah,spotify:artist:7aVeZFWXIC3g4b0Tn68ZtI
Seori,spotify:artist:2bWTIIQP9zaVc55RaMGu7e
DPR IAN,spotify:artist:2o8gT0fQmFxGNbowbdgeZe
NIve,spotify:artist:1qOPo6b0U3t7BpyO8Ti1MF
WONWOO,spotify:artist:3rHcBT06Vb1XGVUWhDALZt
